"index","x.Chi.P.0","x.Chi.P.1","x.Chi.P.2","x.Chi.P.3","x.Chi.P.4","x.Chi.P.5","x.Chi.C.3","x.Chi.PC.4","x.Kappa.1","x.Kappa.2","x.Kappa.3","x.Kappa.4","x.Estate.1","x.Estate.2","x.Estate.3","x.MEDV.11","x.MEDV.12","x.MEDV.13","x.MEDV.22","x.MEDV.23","x.MEDV.33","y"
"1",-15.918,-11.025,-7.9961,-5.9451,0.014388,-4.0981,-2.8149,-0.60545,-3.161,-29.416,-1.1745,-22.237,-20.089,-18.216,-2.5122,1.263,-11.612,-2.1093,-61.938,-1.4785,-0.00060876,-2124.8
"2",-15.918,-10.987,-8.2301,-5.5827,-0.023425,-4.1305,-2.8378,-0.40133,-3.1356,-29.492,-1.1234,-22.237,-20.089,-20.359,-2.5122,0.1115,-9.0138,-0.29148,-64.008,-0.71028,-0.00060876,-2118.3
"3",-14.503,-10.025,-7.289,-5.4451,0.0031395,-3.7445,-2.5649,-0.60545,-3.1284,-26.447,-1.1755,-20.237,-18.109,-16.248,-2.3985,1.1942,-11.096,-2.1145,-55.487,-1.4988,-0.00060876,-1924.8
"4",-14.503,-9.9871,-7.523,-5.0827,-0.031378,-3.777,-2.5878,-0.40133,-3.1006,-26.527,-1.124,-20.237,-18.109,-18.359,-2.3985,0.012589,-8.4005,-0.29205,-57.643,-0.70272,-0.00060876,-1918.8
"5",-13.089,-9.0251,-6.5819,-4.9451,-0.0056027,-3.391,-2.3149,-0.60545,-3.1061,-23.469,-1.1765,-18.237,-16.123,-14.268,-2.2608,1.1586,-10.768,-2.1223,-48.781,-1.5122,-0.00060876,-1724.8
"6",-13.089,-8.9871,-6.8159,-4.5827,-0.03756,-3.4234,-2.3378,-0.40133,-3.0769,-23.549,-1.125,-18.237,-16.123,-16.359,-2.2608,-0.0384,-8.0235,-0.29566,-50.981,-0.70173,-0.00060876,-1718.3
"7",-11.675,-8.0251,-5.8748,-4.4451,-0.01265,-3.0374,-2.0649,-0.60545,-3.0899,-20.484,-1.1774,-16.237,-14.133,-12.282,-2.0991,1.1383,-10.543,-2.1297,-41.923,-1.5217,-0.00060876,-1524.8
"8",-11.675,-7.9871,-6.1088,-4.0827,-0.042543,-3.0699,-2.0878,-0.40133,-3.0599,-20.565,-1.126,-16.237,-14.133,-14.359,-2.0991,-0.067877,-7.7693,-0.29944,-44.149,-0.70262,-0.00060876,-1517.6
"9",-10.261,-7.0251,-5.1677,-3.9451,-0.018487,-2.6839,-1.8149,-0.60545,-3.0775,-17.495,-1.1782,-14.237,-12.141,-10.292,-1.9135,1.1259,-10.379,-2.1363,-34.966,-1.5288,-0.00060876,-1325.5
"10",-10.261,-6.9871,-5.4016,-3.5827,-0.04667,-2.7163,-1.8378,-0.40133,-3.047,-17.577,-1.1269,-14.237,-12.141,-12.359,-1.9135,-0.086319,-7.5865,-0.30281,-37.208,-0.70404,-0.00060876,-1317.3
"11",-8.8465,-6.0251,-4.4606,-3.4451,-0.023425,-2.3303,-1.5649,-0.60545,-3.0679,-14.504,-1.1789,-12.237,-10.147,-8.3002,-1.704,1.1179,-10.254,-2.1419,-27.939,-1.5343,-0.00060876,-1125.3
"12",-8.8465,-5.9871,-4.6945,-3.0827,-0.050162,-2.3628,-1.5878,-0.40133,-3.0369,-14.587,-1.1276,-12.237,-10.147,-10.359,-1.704,-0.098544,-7.449,-0.30571,-30.192,-0.70554,-0.00060876,-1117
"13",-8.8465,-5.9871,-4.6677,-3.2292,-0.050162,-2.2101,-1.5028,-0.48588,-2.9774,-14.668,-1.1054,-12.237,-10.147,-10.359,-1.704,-0.92101,-5.108,-0.099667,-32.436,-0.28562,-0.00060876,-1148.3
"14",-7.4323,-5.0251,-3.7535,-2.9451,-0.027673,-1.9768,-1.3149,-0.60545,-3.06,-11.512,-1.1794,-10.237,-8.1522,-6.3064,-1.4705,1.1126,-10.156,-2.1466,-20.86,-1.5388,-0.00060876,-925.34
"15",-7.4323,-4.9871,-3.9874,-2.5827,-0.053166,-2.0092,-1.3378,-0.40133,-3.0288,-11.594,-1.1282,-10.237,-8.1522,-8.359,-1.4705,-0.10701,-7.3417,-0.30819,-23.121,-0.70697,-0.00060876,-916.84
"16",-7.4323,-4.9871,-3.9606,-2.7292,-0.053166,-1.8565,-1.2528,-0.48588,-2.9644,-11.68,-1.1064,-10.237,-8.1522,-8.359,-1.4705,-0.95608,-4.8868,-0.10333,-25.452,-0.28319,-0.00060876,-950.34
"17",-6.0181,-4.0251,-3.0463,-2.4451,-0.031378,-1.6232,-1.0649,-0.60545,-3.0536,-8.5176,-1.1799,-8.2367,-6.1563,-4.3114,-1.213,1.109,-10.077,-2.1508,-13.742,-1.5424,-0.00060876,-727.34
"18",-6.0181,-3.9871,-3.2803,-2.0827,-0.055786,-1.6557,-1.0878,-0.40133,-3.0222,-8.6002,-1.1288,-8.2367,-6.1563,-6.359,-1.213,-0.11309,-7.2558,-0.31031,-16.009,-0.70828,-0.00060876,-716.84
"19",-6.0181,-3.9871,-3.2535,-2.2292,-0.055786,-1.503,-1.0028,-0.48588,-2.9536,-8.6901,-1.1074,-8.2367,-6.1563,-6.359,-1.213,-0.9828,-4.7076,-0.10687,-18.411,-0.28245,-0.00060876,-754.34
"20",-4.6039,-3.0251,-2.3392,-1.9451,-0.034648,-1.2697,-0.81486,-0.60545,-3.0482,-5.5226,-1.1804,-6.2367,-4.1598,-2.3155,-0.93156,1.1065,-10.012,-2.1544,-6.5925,-1.5454,-0.00060876,-528.34
"21",-4.6039,-2.9871,-2.5732,-1.5827,-0.058098,-1.3021,-0.8378,-0.40133,-3.0167,-5.6052,-1.1292,-6.2367,-4.1598,-4.359,-0.93156,-0.11757,-7.1854,-0.31214,-8.8649,-0.70945,-0.00060876,-516.94
